LST_DATE,DAY,LST_TIME,T_HR_AVG
20190226,TUESDAY,0:00,-0.14
20190226,TUESDAY,1:00,-0.29
20190226,TUESDAY,2:00,-0.35
20190226,TUESDAY,3:00,-0.29
20190226,TUESDAY,4:00,-0.08
20190226,TUESDAY,5:00,0.05
20190226,TUESDAY,6:00,-0.06
20190226,TUESDAY,7:00,0.77
20190226,TUESDAY,8:00,2.13
20190226,TUESDAY,9:00,3.85
20190226,TUESDAY,10:00,6.5
20190226,TUESDAY,11:00,8.65
20190226,TUESDAY,12:00,9.59
20190226,TUESDAY,13:00,11.34
20190226,TUESDAY,14:00,12.32
20190226,TUESDAY,15:00,12.43
20190226,TUESDAY,16:00,12.33
20190226,TUESDAY,17:00,11
20190226,TUESDAY,18:00,9.24
20190226,TUESDAY,19:00,8.37
20190226,TUESDAY,20:00,8.4
20190226,TUESDAY,21:00,7.5
20190226,TUESDAY,22:00,6.82
20190226,TUESDAY,23:00,6.5
20190227,WEDNESDAY,0:00,5.54
20190227,WEDNESDAY,1:00,4.66
20190227,WEDNESDAY,2:00,3.08
20190227,WEDNESDAY,3:00,2.13
20190227,WEDNESDAY,4:00,2.59
20190227,WEDNESDAY,5:00,3.44
20190227,WEDNESDAY,6:00,3.53
20190227,WEDNESDAY,7:00,3.98
20190227,WEDNESDAY,8:00,5.56
20190227,WEDNESDAY,9:00,6.65
20190227,WEDNESDAY,10:00,7.41
20190227,WEDNESDAY,11:00,7.95
20190227,WEDNESDAY,12:00,8.51
20190227,WEDNESDAY,13:00,9.92
20190227,WEDNESDAY,14:00,10.11
20190227,WEDNESDAY,15:00,10
20190227,WEDNESDAY,16:00,9.48
20190227,WEDNESDAY,17:00,8.58
20190227,WEDNESDAY,18:00,7.37
20190227,WEDNESDAY,19:00,6.46
20190227,WEDNESDAY,20:00,5.74
20190227,WEDNESDAY,21:00,5.02
20190227,WEDNESDAY,22:00,4.32
20190227,WEDNESDAY,23:00,3.73
20190228,THURSDAY,0:00,3.4
20190228,THURSDAY,1:00,3.37
20190228,THURSDAY,2:00,3.37
20190228,THURSDAY,3:00,3.6
20190228,THURSDAY,4:00,3.5
20190228,THURSDAY,5:00,4.29
20190228,THURSDAY,6:00,3.95
20190228,THURSDAY,7:00,4.17
20190228,THURSDAY,8:00,5.86
20190228,THURSDAY,9:00,7.81
20190228,THURSDAY,10:00,9.45
20190228,THURSDAY,11:00,11.06
20190228,THURSDAY,12:00,12.64
20190228,THURSDAY,13:00,14.42
20190228,THURSDAY,14:00,15.49
20190228,THURSDAY,15:00,16.21
20190228,THURSDAY,16:00,16.35
20190228,THURSDAY,17:00,15.23
20190228,THURSDAY,18:00,13.91
20190228,THURSDAY,19:00,12.09
20190228,THURSDAY,20:00,9.3
20190228,THURSDAY,21:00,8.48
20190228,THURSDAY,22:00,8.01
20190228,THURSDAY,23:00,7.87
20190301,FRIDAY,0:00,7.06
20190301,FRIDAY,1:00,6.79
20190301,FRIDAY,2:00,6.38
20190301,FRIDAY,3:00,6.49
20190301,FRIDAY,4:00,6.31
20190301,FRIDAY,5:00,6.04
20190301,FRIDAY,6:00,5.64
20190301,FRIDAY,7:00,5.61
20190301,FRIDAY,8:00,7.16
20190301,FRIDAY,9:00,9.35
20190301,FRIDAY,10:00,11.61
20190301,FRIDAY,11:00,13.61
20190301,FRIDAY,12:00,15.03
20190301,FRIDAY,13:00,17.83
20190301,FRIDAY,14:00,18.09
20190301,FRIDAY,15:00,17.89
20190301,FRIDAY,16:00,17.41
20190301,FRIDAY,17:00,16.47
20190301,FRIDAY,18:00,14.73
20190301,FRIDAY,19:00,13.42
20190301,FRIDAY,20:00,12.72
20190301,FRIDAY,21:00,12.06
20190301,FRIDAY,22:00,11.73
20190301,FRIDAY,23:00,11.13
20190302,SATURDAY,0:00,10.53
20190302,SATURDAY,1:00,10.16
20190302,SATURDAY,2:00,8.9
20190302,SATURDAY,3:00,8.45
20190302,SATURDAY,4:00,8.19
20190302,SATURDAY,5:00,8.1
20190302,SATURDAY,6:00,7.94
20190302,SATURDAY,7:00,8.78
20190302,SATURDAY,8:00,11.23
20190302,SATURDAY,9:00,12.11
20190302,SATURDAY,10:00,12.57
20190302,SATURDAY,11:00,13.46
20190302,SATURDAY,12:00,14.31
20190302,SATURDAY,13:00,14.71
20190302,SATURDAY,14:00,14.63
20190302,SATURDAY,15:00,14.5
20190302,SATURDAY,16:00,13.81
20190302,SATURDAY,17:00,12.73
20190302,SATURDAY,18:00,11.44
20190302,SATURDAY,19:00,10.71
20190302,SATURDAY,20:00,9.94
20190302,SATURDAY,21:00,8.53
20190302,SATURDAY,22:00,7.43
20190302,SATURDAY,23:00,7.18
20190303,SUNDAY,0:00,6.91
20190303,SUNDAY,1:00,6.52
20190303,SUNDAY,2:00,6.06
20190303,SUNDAY,3:00,6.01
20190303,SUNDAY,4:00,6.29
20190303,SUNDAY,5:00,6.47
20190303,SUNDAY,6:00,6.3
20190303,SUNDAY,7:00,6.57
20190303,SUNDAY,8:00,8.23
20190303,SUNDAY,9:00,9.56
20190303,SUNDAY,10:00,10.94
20190303,SUNDAY,11:00,12.02
20190303,SUNDAY,12:00,12.87
20190303,SUNDAY,13:00,12.93
20190303,SUNDAY,14:00,13.09
20190303,SUNDAY,15:00,12.95
